f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,label
157,37.53712786234496,4810,8.262788909507767,0.5623288562140887,0.7301734533106766,0.7466032046442038,0.5568383899362369,0.8831043506407603,0.6113570130983824,0.282397110105827,-0.7934823811278349,1,0.618676709068865,0.9420103672792839,0.37115372363079424,5.072450050486925,44.86335300277173,0.6217266153088818,0.9533221604663561,1
147,111.44119459249598,10667,7.554423583411595,0.9589955161197687,0.5717893159359805,0.012596401271786961,0.9679591436670032,0.7887217025004335,0.9640541301314893,0.8353064608584502,-0.8958241861456981,3,0.44381274098008083,0.7667729740980447,0.3703812140287275,7.636781141479844,67.99554331235765,0.5897376125562032,0.11073662451042032,0
69,61.87705248920731,13002,8.53471404417417,0.24848392617192783,0.4340521760809567,0.6444850615205939,0.8357821002212908,0.503990597073234,0.09557444766260115,0.31684494365033,-0.1279168341740995,1,0.24609912257631594,0.8911066875349052,-0.9460299282630154,-1.2440102920153957,39.018348982260285,0.9704174793868637,0.30501864885946817,1
161,58.31385282494975,11518,4.661861895174862,0.7483162747568046,0.12757017457137088,0.18286452675487241,0.5318092800254958,0.5353121804211639,0.022549221530086427,0.7250931239865422,0.24629473467191376,3,0.6791974553522796,-0.7727952610520408,0.7982442013209419,8.325270655713128,66.73748970342429,0.06078184248466989,0.03586239845465855,1
126,71.89177052828376,15258,6.965072501802988,0.21997297769604574,0.4090851486348762,0.23240404621441313,0.6694500356056681,0.5159284488078804,0.05574959847032801,0.12099976751206643,0.6811067135025284,2,0.873243945741321,0.7362968745083776,-0.32378687314164667,6.334169977362581,50.970471461782765,0.10812260729606149,0.14888720262376676,0
75,24.696596677505504,3019,6.995602925201625,0.33714734136843416,0.3543771829861353,0.6356319986400399,0.8778710617226857,0.3140321996727953,0.05240568646119881,0.16870164280374567,0.3652897645862627,1,0.3728703306808605,-0.7418186765433881,0.4883315249632181,5.93370633157118,22.749456472107845,0.506083465645757,0.6993971074657895,0
157,36.62833687560794,7237,5.767303702733912,0.5628631999382674,0.3028298889787422,0.9929434657829072,0.7282377945510653,0.7077982364503679,0.9078158577774044,0.31579564450825115,-0.5832784218502853,3,0.8415384676913369,0.26586435708797795,0.5196138142006397,0.19811604645286618,52.21610289855711,0.5271098253536346,0.3667165006629388,1
176,93.80336164263704,12028,6.292332122846289,0.5638979542422946,0.7308796233222077,0.7777174890725507,0.7899712588995335,0.7891835693122229,0.7212579079338247,0.5938737676678615,-0.076459267207442,2,0.43108204648349047,0.44015632135600447,0.3011099576244791,8.314870956407923,93.56202236153159,0.03992765880517124,0.45207657067912055,0
129,28.279866792512646,14448,4.189907816449267,0.7485604343469152,0.7007255212842638,0.22583963222339198,0.8522609212270313,0.8977061954676424,0.6771063661962783,0.6455114854786993,0.8206926926173106,3,0.401335943099426,-0.6782930037014283,-0.21026695371141568,4.569690660898248,43.44895033067685,0.8258554208594521,0.15697839513065615,1
142,80.31521094663881,12640,7.72930019313506,0.9281704278942053,0.5890200909809116,0.1760247550411338,0.7732055132853883,0.39811580336791125,0.5225728202618095,0.39635617196747486,-0.34651787504525755,0,0.028324357547027668,0.2653187518590794,0.2167684336330511,7.777592152942038,45.826591154917516,0.49472349810289573,0.6821401728913017,0
